juego,equipo,nombre,posicion,elemento,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,tecnicas
IE1,Raimon,Mark Evans,PR,tierra,191,184,72,72,70,77,68,69,79,God Hand | Grenade Shot | Majin The Hand | Triple Defence
IE1,Raimon,Jack Wallside,DF,tierra,206,165,62,68,62,66,49,54,54,The Wall | Super Armadillo | Mole Fake | Mega Quake
IE1,Raimon,Jim Wraith,DF,bosque,195,140,58,53,75,59,53,62,60,Coil Turn | About Face | Afterimage | Shadow Stitch
IE1,Raimon,Bobby Shearer,DF,bosque,202,176,76,61,72,76,60,72,72,Killer Slide | Blade Attack | Back Tornado | Hurricane Arrows
IE1,Raimon,Tod Ironside,DF,fuego,184,161,54,55,53,56,59,56,65,Rodeo Clown | Comet Shot | Monkey Turn | Run Ball Run
IE1,Raimon,Nathan Swift,DF,aire,169,156,64,58,68,54,76,58,56,Flurry Dash | Quick Draw | Fire Rooster | Clone Faker
IE1,Raimon,Steve Grim,MC,aire,154,144,62,64,71,64,71,71,71,Rolling Kick | Zigzag Spark | Cyclone | Freeze Shot
IE1,Raimon,Tim Saunders,MC,bosque,156,149,63,76,61,60,55,48,58,Whirlwind Twister | Kung Fu Header | Clone Faker | Clone Shot
IE1,Raimon,Sam Kincaid,MC,fuego,167,136,71,57,56,56,52,56,76,Grenade Shot | Bewildered | Fake Ball | Twin Boost
IE1,Raimon,Jude Sharp,MC,aire,191,180,63,79,79,79,76,76,68,Spinning Cut | Illusion Ball | Twin Boost | Inazuma Break
IE1,Raimon,Maxwell Carson,DL,aire,156,160,60,56,78,64,60,56,62,Quick Draw | Spiral Shot | Illusion Ball | Back Tornado
IE1,Raimon,Kevin Dragonfly,DL,bosque,195,144,71,60,59,61,60,64,70,Dragon Crash | Dragon Tornado | Zigzag Spark | Rolling Hell
IE1,Raimon,Axel Blaze,DL,fuego,200,176,79,66,76,64,72,68,60,Fire Tornado | Heat Tackle | Inazuma Drop | Quick Draw
IE1,Raimon,William Glass,DL,bosque,147,168,56,51,68,57,56,53,60,Defence Scan | Attack Scan | Divine Arrows | Rodeo Clown
IE1,Occult,Mask,PR,aire,165,156,58,56,70,68,56,60,68,Killer Blade | Warp Space | Blade Attack | Whirlwind
IE1,Occult,Zombie,PR,tierra,200,156,47,46,50,40,51,74,56,Sumo Stomp | Doppelganger | Teleport Shot | Horn Train
IE1,Occult,Styx,DF,bosque,140,137,60,53,60,52,63,65,58,Ghost Pull | Teleport Shot | Black Magic | Phantom Shot
IE1,Occult,Franky,DF,tierra,151,156,55,59,47,70,52,61,48,Fireball Knuckle | Rocket Kobushi | Blazing Knuckle | Counter Strike
IE1,Occult,Undead,DF,fuego,187,132,52,58,56,61,56,79,53,Doppelganger | Phantom Shot | Black Magic | Shadow Stitch
IE1,Occult,Creepy,DF,aire,151,152,52,54,57,57,60,54,63,Doppelganger | Magic | Ghost Pull | Fake Ball
IE1,Occult,Jiangshi,MC,aire,145,136,55,62,60,52,56,61,62,Ghost Pull | Black Magic | Magic | Warp Space
IE1,Occult,Mummy,MC,bosque,187,137,54,52,60,52,62,75,61,Ghost Pull | Poison Fog | Spider Web | Warp Space
IE1,Occult,Grave,MC,fuego,180,144,57,65,60,52,71,56,55,Black Magic | Shadow Stitch | Phantom Shot | Whirlwind Cut
IE1,Occult,Wolfy,MC,fuego,211,153,61,70,77,52,79,69,67,Magic | Phantom Shot | Moonsault | Wild Claw
IE1,Occult,Ghost,MC,bosque,143,100,55,50,54,44,48,56,54,Ghost Pull | Rolling Hell | Horn Train | Warp Space
IE1,Occult,Blood,MC,tierra,184,152,68,52,52,51,56,62,60,Phantom Shot | Magic | Poison Fog | Rolling Hell
IE1,Occult,Dollman,DL,bosque,129,104,52,53,45,48,49,53,55,Phantom Shot | Black Magic | Doppelganger | Rocket Kobushi
IE1,Occult,Noir,DL,bosque,121,120,52,45,48,52,52,58,45,Black Magic | Psycho Shot | Doppelganger | Death Zone
IE1,Occult,Alien,DL,aire,149,112,48,51,51,50,48,55,44,Comet Shot | Psycho Shot | Kung Fu Header | Ghost Pull
