ID,Type,Name,Tier,Real Tier,Min Power,Kakusei Power,True Power,TP,Element,Secondary type
16A,Shoot,Megane Crash,SP,Co-Op 2P,160.0,170.0,170,50.0,Earth,Normal
180,Shoot,Omega Attack (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Void,Normal
181,Shoot,Omega Attack (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Void,Normal
182,Shoot,Omega Attack (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Void,Normal
1BC,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1BD,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1BE,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1BF,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C0,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C1,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C2,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C3,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C4,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C5,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C6,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C7,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C8,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1C9,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1CA,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1CB,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
1CC,Shoot,Fire Tornado TC (Armed),SP,Armed (Co-Op 3P),110.0,120.0,160,50.0,Fire,Normal
125,Shoot,Sword Excalibur,SP,Keshin (Co-Op 2P),130.0,140.0,160,50.0,Void,Normal
124,Shoot,Sword of Fire,SP,Keshin (Co-Op 3P),130.0,140.0,160,50.0,Fire,Normal
185,Shoot,Chaos Meteor (Armed),SP,Armed,100.0,110.0,150,60.0,Earth,Normal
188,Shoot,Gamma Strike (Armed),SP,Armed,100.0,110.0,150,70.0,Wood,Normal
196,Shoot,God Wind (Armed),SP,Armed,100.0,110.0,150,70.0,Wind,Normal
1B0,Shoot,Dragon Blaster (Armed),SP,Armed,100.0,110.0,150,70.0,Wind,Normal
1A6,Shoot,Disaster Break (Armed),SP,Armed,100.0,110.0,150,70.0,Earth,Normal
1B2,Shoot,Bouncer Rabbit (Armed),SP,Armed,100.0,110.0,150,80.0,Wood,Normal
19F,Shoot,Spinning Transam (Armed),SP,Armed,100.0,110.0,150,80.0,Wind,Normal
1D4,Shoot,Mach Wind (Armed),SP,Armed,100.0,110.0,150,70.0,Wind,Normal
1A9,Shoot,Death Drop (Armed),SP,Armed,100.0,110.0,150,70.0,Fire,Normal
1AA,Shoot,Death Drop (Armed),SP,Armed,100.0,110.0,150,70.0,Fire,Normal
1D9,Shoot,Ryuusei Blade (Armed),SP,Armed,100.0,110.0,150,80.0,Fire,Normal
1AD,Shoot,Denrai Houtou (Armed),SP,Armed,100.0,110.0,150,80.0,Earth,Normal
1A4,Shoot,Double Shot (Armed),SP,Armed,100.0,110.0,150,90.0,Void,Long Shoot
19B,Shoot,Joker Rains (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Wood,Normal
19C,Shoot,Joker Rains (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Wood,Normal
18F,Shoot,Great Blaster (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Void,Normal
190,Shoot,Great Blaster (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Void,Normal
191,Shoot,Great Blaster (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Void,Normal
192,Shoot,Great Blaster (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Void,Normal
193,Shoot,Great Blaster (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Void,Normal
17B,Shoot,Extreme Rabbit (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Earth,Normal
17C,Shoot,Extreme Rabbit (Armed),SP,Armed (Co-Op 2P),100.0,110.0,150,60.0,Earth,Normal
1D5,Shoot,Mortal Smash,SP,Keshin,120.0,130.0,150,80.0,Earth,Normal
