Name (JPN romaji),Name (FR),Element,Gender,TeamID,Position,TP,Kick,Body,Control,Guard,Speed,Catch,Key bonus,Kakusei
Raimon Natsumi (Manager),Nelly Raimon (Manager),Wind,Female,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Otonashi Haruna (Manager),Celia Hills (Manager),Wind,Female,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Kudou Fuyuka (Manager),Camellia Travis (Manager),Wind,Female,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Kino Aki (Manager),Silvia Woods (Manager),Wind,Female,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Ootani Tsukushi (Manager),Aurelia Dingle (Manager),Wind,Female,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Endou Daisuke (Trainer),David Evans (Coach),Wind,Male,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Hibiki Seigou (Trainer),Seymour Hillman (Coach),Wind,Male,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Kudou Michiya (Trainer),Percival Travis (Coach),Wind,Male,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Kira Hitomiko (Trainer),Lina Schiller (Coach),Wind,Female,87.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Endou Mamoru ,Tutorial Mark,Earth,Male,88.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Fubuki Shirou (Shirou - Raimon 2),Shawn Froste (Shawn - Raimon 2),Wind,Male,4.0,DF,160.0,80.0,60.0,80.0,90.0,110.0,80.0,Guard +4,2.0
Kabeyama Heigorou (Raimon 1),Jack Wallside (Raimon 1),Earth,Male,1.0,DF,160.0,80.0,60.0,80.0,100.0,60.0,90.0,Guard +4,2.0
Rihm,Rihm,Wood,Female,5.0,FW,160.0,90.0,70.0,80.0,60.0,100.0,80.0,Body +2/Speed +2,2.0
Someoka Ryuugo (Raimon 1),Kevin Dragonfly (Raimon 1),Wood,Male,1.0,FW,160.0,90.0,70.0,80.0,60.0,80.0,80.0,Kick +4,2.0
Kisaragi Mako ,Maddie Moonlight,Wood,Female,13.0,FW,150.0,80.0,70.0,80.0,60.0,80.0,70.0,Speed +4,2.0
Kakuma Keita (Commentator),Steve Grim (Empereurs Noirs),Wind,Male,1.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Kakuma Oushou (Commentator),Tim Saunders (Raimon 1),Wind,Male,1.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Ichinose Kazuya (Raimon 1),Erik Eagle (Raimon 1),Wood,Male,1.0,MF,180.0,90.0,70.0,80.0,70.0,80.0,70.0,Control +2/Speed +2,2.0
Megane Kakeru (Raimon 1),Willy Glass (Raimon 1),Wood,Male,1.0,FW,150.0,90.0,70.0,90.0,70.0,70.0,70.0,Kick +2/Catch +2,2.0
Megane Kakeru (Raimon 2),Willy Glass (Raimon 2),Wood,Male,4.0,FW,150.0,90.0,70.0,90.0,70.0,70.0,70.0,Catch +2/Body +2,2.0
Maygar Nathan ,Maygar Neysan,Earth,Male,16.0,MF,180.0,80.0,70.0,90.0,70.0,70.0,90.0,Catch +2/Body +2,2.0
Sangoku Taichi ,Samguk Han,Fire,Male,14.0,GK,170.0,70.0,70.0,80.0,70.0,80.0,100.0,Body +2/Guard +2,2.0
Raffaele Generani ,Raffaele Generani,Earth,Male,17.0,FW,180.0,100.0,70.0,70.0,80.0,80.0,70.0,Body +2/Speed +2,2.0
Handa Shinichi (Raimon 1),Steve Grim (Raimon 1),Wind,Male,1.0,MF,170.0,80.0,70.0,80.0,80.0,90.0,80.0,Kick +2/Control +2,2.0
Cain Saito ,Keeanan DiFortune,Wood,Male,16.0,GK,170.0,70.0,70.0,70.0,80.0,80.0,110.0,Catch +2/Guard +2,2.0
McCall Kisara ,Jareel Mangrove,Fire,Male,16.0,DF,170.0,90.0,70.0,90.0,90.0,70.0,70.0,Body +2/Guard +2,2.0
Domon Asuka (Raimon 1),Bobby Shearer (Raimon 1),Wood,Male,1.0,DF,180.0,70.0,70.0,70.0,90.0,80.0,80.0,Catch +2/Guard +2,2.0
Kamezaki Kappa ,Karl Kappa,Wind,Male,88.0,GK,170.0,90.0,70.0,70.0,90.0,90.0,100.0,Kick +2/Catch +2,2.0
Domon Asuka (Raimon 2),Bobby Shearer (Raimon 2),Wood,Male,4.0,DF,180.0,80.0,70.0,80.0,90.0,80.0,80.0,Body +2/Guard +2,2.0
Hori Michiko ,Hellen Hearth,Wood,Female,13.0,DF,150.0,80.0,70.0,90.0,90.0,80.0,70.0,Body +2/Control +2,2.0
Hebino Makito ,Albion Lumina,Earth,Male,15.0,GK,160.0,70.0,70.0,100.0,90.0,80.0,110.0,Guard +2/Control +2,2.0
Tamano Gorou ,Paul Peabody,Wind,Male,88.0,DF,180.0,70.0,70.0,80.0,90.0,80.0,100.0,Catch +2/Body +2,2.0
Gini Geino ,Jimi Gaines,Wood,Male,16.0,DF,170.0,70.0,70.0,90.0,100.0,80.0,70.0,Catch +2/Control +2,2.0
Kabeyama Heigorou (Inazuma Japan),Jack Wallside (Inazuma Japon),Earth,Male,8.0,DF,170.0,90.0,70.0,90.0,100.0,70.0,90.0,Body +2/Guard +2,2.0
Kabeyama Heigorou (Raimon 2),Jack Wallside (Raimon 2),Earth,Male,4.0,DF,160.0,80.0,70.0,90.0,100.0,60.0,90.0,Catch +2/Guard +2,2.0
Genda Koujirou (Shin Teikoku),Joseph King (Nouv. Royal Academy),Fire,Male,88.0,GK,180.0,80.0,70.0,90.0,100.0,70.0,110.0,Guard +2/Control +2,2.0
Makiya Hiroshi ,Mark Hillvalley,Earth,Male,9.0,DF,180.0,90.0,70.0,70.0,110.0,60.0,90.0,Catch +2/Control +2,2.0
Marco Maseratti ,Marco Maseratti,Earth,Male,17.0,DF,180.0,70.0,70.0,80.0,110.0,80.0,90.0,Guard +2/Speed +2,2.0
Rococo Urupa ,Hector Helio,Earth,Male,16.0,GK,190.0,90.0,70.0,70.0,110.0,80.0,110.0,Kick +2/Speed +2,2.0
Gigi Blasi ,Gigi Blasi,Wind,Male,17.0,GK,160.0,70.0,70.0,90.0,110.0,60.0,110.0,Kick +2/Guard +2,2.0
Kidou Yuuto (Raimon 1),Jude Sharp (Raimon 1),Wind,Male,1.0,MF,170.0,70.0,80.0,90.0,50.0,90.0,80.0,Control +4,2.0
Diam,Diam,Wood,Male,5.0,FW,170.0,100.0,80.0,90.0,60.0,70.0,60.0,Kick +2/Body +2,2.0
Gouzu ,Dva,Wood,Male,23.0,DF,150.0,80.0,80.0,100.0,60.0,90.0,90.0,Kick +2/Guard +2,2.0
Sakuma Jirou (Teikoku),David Samford (Royal Academy),Wood,Male,2.0,FW,180.0,90.0,80.0,80.0,60.0,90.0,80.0,Kick +2/Speed +2,2.0
Yuukoku Hiroyuki ,John Tassman,Wood,Male,9.0,FW,160.0,90.0,80.0,90.0,60.0,90.0,80.0,Catch +4,2.0
Maquia,Mercury,Wind,Female,5.0,FW,160.0,90.0,80.0,90.0,70.0,90.0,70.0,Kick +2/Control +2,2.0
Metron,Metron,Wind,Male,5.0,FW,170.0,90.0,80.0,90.0,70.0,90.0,80.0,Kick +2/Guard +2,2.0
Yamino Kageto (Dark Emperors),Shadow (Empereurs Noirs),Wood,Male,7.0,FW,170.0,90.0,80.0,90.0,70.0,80.0,80.0,Kick +4,2.0
Kimoro ,Zarbi,Wood,Male,19.0,FW,160.0,100.0,80.0,80.0,70.0,90.0,80.0,Guard +4,2.0
Kito Ryand ,Kito Ryand,Fire,Male,16.0,MF,180.0,90.0,80.0,90.0,70.0,70.0,90.0,Body +2/Speed +2,2.0
