juego,nombre,posicion,elemento,tiro,regate,tecnica,defensa,parada,velocidad,aguante,extra
IE1,Mark Evans,PR,tierra,72,72,70,77,77,68,69,79
IE1,Nathan Swift,DF,aire,64,58,68,54,54,76,58,56
IE1,Jack Wallside,DF,tierra,62,68,62,66,66,49,54,54
IE1,Jim Wraith,DF,bosque,58,53,75,59,59,53,62,60
IE1,Tod Ironside,DF,fuego,54,55,53,56,56,59,56,65
IE1,Steve Grim,MC,aire,62,64,71,64,64,71,71,71
IE1,Tim Saunders,MC,bosque,63,76,61,60,60,55,48,58
IE1,Sam Kincaid,MC,fuego,71,57,56,56,56,52,56,76
IE1,Maxwell Carson,DL,aire,60,56,78,64,64,60,56,62
IE1,Axel Blaze,DL,fuego,79,66,76,64,64,72,68,60
IE1,Kevin Dragonfly,DL,bosque,71,60,59,61,61,60,64,70
IE1,William Glass,DL,bosque,56,51,68,57,57,56,53,60
IE1,Pip Daltry,DF,bosque,44,45,49,51,51,49,40,43
IE1,Seymour Hillman,PR,tierra,70,68,64,71,71,68,75,72
IE1,Charles Island,DF,bosque,71,79,71,68,68,69,63,64
IE1,Garret Hairtown,DF,aire,70,65,65,62,62,73,60,71
IE1,Arthur Sweet,DF,tierra,74,75,66,65,65,65,68,61
IE1,Peter Mildred,MC,bosque,72,71,69,70,70,74,69,78
IE1,Josh Nathaniel,MC,bosque,64,73,73,75,75,71,66,65
IE1,Edward Gladstone,MC,fuego,68,66,68,60,60,72,63,69
IE1,Tyler Thomas,MC,tierra,73,72,76,76,76,79,72,70
IE1,Joseph Yosemite,DL,aire,62,72,72,76,76,65,62,65
IE1,Ian Suffolk,MC,fuego,71,68,70,69,69,77,68,68
IE1,Constant Builder,DL,fuego,69,69,64,60,60,63,77,64
IE1,Ted Poe,DL,bosque,64,68,79,70,70,69,64,69
IE1,Marshall Heart,DL,aire,60,62,66,63,63,72,65,64
IE1,Dom Foreman,MC,tierra,76,72,64,64,64,68,72,70
IE1,Slot MacHines,DF,fuego,68,68,75,71,71,76,68,73
IE1,Bill Steakspear,DF,tierra,62,75,78,68,68,68,67,68
IE1,Jimmy Mach,DL,aire,52,61,60,58,58,79,76,50
IE1,Tony Hacker,MC,bosque,52,60,67,69,69,76,75,64
IE1,Dan Rhino,MC,tierra,72,58,60,53,53,69,62,53
IE1,Vin Fleetwood,DL,aire,71,64,61,69,69,68,68,65
IE1,George Winters,DL,bosque,44,72,76,68,68,79,70,73
IE1,Den Hidden,PR,tierra,73,60,64,76,76,44,79,60
IE1,Shaun Imago,DF,aire,42,36,30,55,55,60,60,60
IE1,Joe Straiter,PR,fuego,56,53,52,71,71,58,58,59
IE1,Rupert Spiers,MC,aire,55,64,70,70,70,74,68,63
IE1,Mark Sudor,PR,tierra,64,63,55,62,62,45,62,52
IE1,Ringo Stagg,DF,aire,60,65,57,67,67,56,56,63
IE1,Jody MacGough,DF,tierra,41,52,58,52,52,67,70,61
IE1,Jeeves Dropper,MC,aire,45,61,58,53,53,68,60,54
IE1,Dan Dandy,DF,aire,61,43,44,63,63,68,65,68
IE1,Rory Boomer,MC,tierra,71,62,57,56,56,60,65,79
IE1,Tim Toppel,PR,bosque,69,65,64,60,60,64,69,61
