ID,Name(Romaji),Name(Localised),Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Shot AT,Focus AT,Focus DF,Scramble AT,Scramble DF,Castle Wall DF,KP,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Shoot > Shoot
2,Shuya Goenji,Axel Blaze,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Fire Tornado | Scorching Tackle | Inazuma Drop,236,280.5,240.5,178,181,173,771,Shoot > Offense,Shoot > Shoot | Offense > Offense
5,Heigoro Kabeyama,Jack Wallside,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Justice,Shoulder Tackle | The Wall | The Mountain,184,234,254.5,219,216,207,883,Defense > Defense,Offense > Defense | Offense > Offense
6,Ichirota Kazemaru,Nathan Swift,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Justice,Cunning Pull | Flurry Dash | Fire Rooster,184,234,254.5,219,216,207,883,Defense > Offense,Offense > Defense | Offense > Offense
7,Ryugo Someoka,Kevin Dragonfly,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Tension,Chip Shot | Dragon Crash | Dragon Tornado,233,277.5,238,176,177,169,758,Shoot > Shoot,Offense > Shoot | Offense > Offense
8,Teppei Kurimatsu,Tod Ironside,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Curving Cut | Spinning Cut | Monkey Turn,178,226.5,248.5,216,211,203,866,Defense > Defense,Shoot > Offense | Offense > Offense
9,Shinichi Handa,Steve Grim,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Justice,Heel Flick | Cyclone | Rolling Kick,214,270.5,248.5,189,189,180,782,Offense > Defense,Defense > Shoot | Defense > Defense
10,Kusuke Matsuno,Maxwell Carson,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Tension,Nutmeg | Quick Draw | Cross Drive,233,277.5,238,176,177,169,758,Offense > Defense,Offense > Offense | Offense > Offense
11,Ayumu Shorinji,Tim Saunders,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Bond,Crosscut Feint | Whirlwind Twister | Kung Fu Header,214,270.5,248.5,189,189,180,782,Offense > Offense,Offense > Shoot | Defense > Defense
12,Sakichi Shishido,Sam Kincaid,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Bond,Deceptive Step | Grenade Shot | Bewildered,214,270.5,248.5,189,189,180,782,Offense > Shoot,Defense > Shoot | Defense > Defense
13,Jin Kageno,Jim Wraith,,男 (Male),,選手 (Player),,DF,GK,林 (Forest),Justice,Feint Play | Coil Turn | Shadow Stitch,178,226.5,248.5,216,211,203,866,Defense > Defense,Offense > Defense | Keep > Keep
14,Kakeru Megane,William Glass,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Justice,Bounce Shot | Spectacle Crash | Divine Arrows,224,267.5,240.5,186,189,177,773,Shoot > Shoot,Offense > Shoot | Offense > Offense
15,Kazuya Ichinose,Erik Eagle,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Bond,Deceptive Step | Spinning Shot | Illusory Ball,214,270.5,248.5,189,189,180,782,Offense > Shoot,Shoot > Shoot | Defense > Shoot
16,Asuka Domon,Bobby Shearer,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Tension,Rolling Steal | Killer Slide | Volcano Cut,178,226.5,248.5,216,211,203,866,Defense > Defense,Shoot > Defense | Defense > Shoot
