ID,Name(Romaji),Name(Localised),Nickname,Gender,Game,Type,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,円堂,男 (Male),イナズマイレブン,選手 (Player),GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,90.0,97.0,91.0,98.0,105.0,111.0,97.0,689,Keep > Keep,Keep > Keep | Shoot > Shoot
2,Shuya Goenji,Axel Blaze,豪炎寺,男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Justice,Fire Tornado | Scorching Tackle | Inazuma Drop,121.0,115.0,105.0,88.0,85.0,85.0,93.0,692,Shoot > Offense,Shoot > Shoot | Offense > Offense
5,Heigoro Kabeyama,Jack Wallside,壁山 (Mountain),男 (Male),イナズマイレブン,選手 (Player),DF,MF,山 (Mountain),Justice,Shoulder Tackle | The Wall | The Mountain,90.0,94.0,95.0,102.0,105.0,91.0,114.0,691,Defense > Defense,Offense > Defense | Offense > Offense
6,Ichirota Kazemaru,Nathan Swift,風 (Wind)丸,男 (Male),イナズマイレブン,選手 (Player),DF,MF,風 (Wind),Justice,Cunning Pull | Flurry Dash | Fire Rooster,90.0,94.0,95.0,102.0,105.0,91.0,114.0,691,Defense > Offense,Offense > Defense | Offense > Offense
7,Ryugo Someoka,Kevin Dragonfly,染岡,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Tension,Chip Shot | Dragon Crash | Dragon Tornado,119.0,114.0,104.0,85.0,84.0,84.0,92.0,682,Shoot > Shoot,Offense > Shoot | Offense > Offense
8,Teppei Kurimatsu,Tod Ironside,栗松,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Counter,Curving Cut | Spinning Cut | Monkey Turn,87.0,91.0,92.0,99.0,104.0,89.0,112.0,674,Defense > Defense,Shoot > Offense | Offense > Offense
9,Shinichi Handa,Steve Grim,半田,男 (Male),イナズマイレブン,選手 (Player),MF,DF,風 (Wind),Justice,Heel Flick | Cyclone | Rolling Kick,103.0,111.0,108.0,90.0,90.0,83.0,99.0,684,Offense > Defense,Defense > Shoot | Defense > Defense
10,Kusuke Matsuno,Maxwell Carson,マックス,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Tension,Nutmeg | Quick Draw | Cross Drive,119.0,114.0,104.0,85.0,84.0,84.0,92.0,682,Offense > Defense,Offense > Offense | Offense > Offense
11,Ayumu Shorinji,Tim Saunders,しょうりん,男 (Male),イナズマイレブン,選手 (Player),MF,DF,林 (Forest),Bond,Crosscut Feint | Whirlwind Twister | Kung Fu Header,103.0,111.0,108.0,90.0,90.0,83.0,99.0,684,Offense > Offense,Offense > Shoot | Defense > Defense
12,Sakichi Shishido,Sam Kincaid,宍戸,男 (Male),イナズマイレブン,選手 (Player),MF,DF,火 (Fire),Bond,Deceptive Step | Grenade Shot | Bewildered,103.0,111.0,108.0,90.0,90.0,83.0,99.0,684,Offense > Shoot,Defense > Shoot | Defense > Defense
13,Jin Kageno,Jim Wraith,仁,男 (Male),イナズマイレブン,選手 (Player),DF,GK,林 (Forest),Justice,Feint Play | Coil Turn | Shadow Stitch,87.0,91.0,92.0,99.0,104.0,89.0,112.0,674,Defense > Defense,Offense > Defense | Keep > Keep
14,Kakeru Megane,William Glass,メガネ,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Justice,Bounce Shot | Spectacle Crash | Divine Arrows,113.0,111.0,100.0,90.0,87.0,83.0,99.0,683,Shoot > Shoot,Offense > Shoot | Offense > Offense
15,Kazuya Ichinose,Erik Eagle,一之瀬,男 (Male),イナズマイレブン,選手 (Player),MF,FW,林 (Forest),Bond,Deceptive Step | Spinning Shot | Illusory Ball,103.0,111.0,108.0,90.0,90.0,83.0,99.0,684,Offense > Shoot,Shoot > Shoot | Defense > Shoot
16,Asuka Domon,Bobby Shearer,土門,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Tension,Rolling Steal | Killer Slide | Volcano Cut,87.0,91.0,92.0,99.0,104.0,89.0,112.0,674,Defense > Defense,Shoot > Defense | Defense > Shoot
17,Aki Kino,Silvia Woods,木野,女 (Female),イナズマイレブン,マネージャー (Coordinator),GK,DF,山 (Mountain),Tension,Mighty Save | God Hand | Blazing Knuckle,90.0,97.0,91.0,98.0,105.0,111.0,97.0,689,Keep > Keep,Keep > Keep | Defense > Defense
