Inagle ID,Image,Name (Romaji),Name (Localised),Gender,Position,Element,Playstyle,Moveset,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence
2,,Shuya Goenji,Axel Blaze,男 (Male),FW,火 (Fire),Justice,Fireball Screw | Maximum Fire | Grand Fire | Scorching Tackle | Ignited Steal | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2,,Shuya Goenji,Axel Blaze,男 (Male),FW,火 (Fire),Counter,Fireball Screw | Maximum Fire | Grand Fire | Scorching Tackle | Ignited Steal | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1163,,Shiro Fubuki,Shawn Froste,男 (Male),FW,風 (Wind),Justice,Eternal Blizzard | Legendary Wolf | Snow Angel | Land of Ice | Eternal Blizzard | Elemental Catalyst,137.0,134.0,122.0,109.0,106.0,102.0,120.0
1163,,Shiro Fubuki,Shawn Froste,男 (Male),FW,風 (Wind),Tension,Eternal Blizzard | Legendary Wolf | Snow Angel | Land of Ice | Eternal Blizzard | Elemental Catalyst,137.0,134.0,122.0,109.0,106.0,102.0,120.0
1133,,Gran,Xene,男 (Male),FW,火 (Fire),Justice,Meteor Blade | Southern Cross | Supernova | Meteor Blade | Supernova | Instant Burst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1133,,Gran,Xene,男 (Male),FW,火 (Fire),Rough Play,Meteor Blade | Southern Cross | Supernova | Meteor Blade | Supernova | Instant Burst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1913,,Fidio Ardena,Paolo Bianchi,男 (Male),FW,林 (Forest),Tension,Odin Sword | Divine Arrows | Athena's Anthem | Odin Sword | Odin Sword | Instant Burst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1913,,Fidio Ardena,Paolo Bianchi,男 (Male),FW,林 (Forest),Justice,Odin Sword | Divine Arrows | Athena's Anthem | Odin Sword | Odin Sword | Instant Burst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2077,,Badapp Sleed,Bash Lancer,男 (Male),FW,林 (Forest),Rough Play,Doom Spear | Foul Offence 3 | Doom Break | Doom Break | Doom Break | Elemental Catalyst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2077,,Badapp Sleed,Bash Lancer,男 (Male),FW,林 (Forest),Counter,Doom Spear | Foul Offence 3 | Doom Break | Doom Break | Doom Break | Elemental Catalyst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2433,,Kyosuke Tsurugi,Victor Blade,男 (Male),FW,火 (Fire),Rough Play,Doom Dive Drive | Supernatural Strike | Fire Tornado DD | Supernatural Strike | Supernatural Strike | Lancelot,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2433,,Kyosuke Tsurugi,Victor Blade,男 (Male),FW,火 (Fire),Bond,Doom Dive Drive | Supernatural Strike | Fire Tornado DD | Supernatural Strike | Supernatural Strike | Lancelot,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2700,,Hakuryu,Bailong,男 (Male),FW,風 (Wind),Breach,White Hurricane | Zero Magnum | Dragon Drive | Dragon Drive | Dragon Drive | White Wyvern,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2700,,Hakuryu,Bailong,男 (Male),FW,風 (Wind),Rough Play,White Hurricane | Zero Magnum | Dragon Drive | Dragon Drive | Dragon Drive | White Wyvern,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2711,,Shuu,Tezcat,男 (Male),FW,林 (Forest),Breach,Black Ash | Zero Magnum | Side Swipe | Black Ash | Zero Magnum | Black Butcher,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2711,,Shuu,Tezcat,男 (Male),FW,林 (Forest),Bond,Black Ash | Zero Magnum | Side Swipe | Black Ash | Zero Magnum | Black Butcher,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3479,,Fei Rune,Fei Rune,男 (Male),FW,林 (Forest),Bond,Bouncing Bunny | Ozone Flayer | Splitting Hares | Splitting Hares | Splitting Hares | Mix 'n' Match: Big,137.0,134.0,122.0,109.0,106.0,102.0,120.0
3479,,Fei Rune,Fei Rune,男 (Male),FW,林 (Forest),Breach,Bouncing Bunny | Ozone Flayer | Splitting Hares | Splitting Hares | Splitting Hares | Mix 'n' Match: Big,137.0,134.0,122.0,109.0,106.0,102.0,120.0
3502,,Alpha,Alpha,男 (Male),FW,火 (Fire),Counter,Spin Meister | Blast Mine | Omega Assault | Spin Meister | Spin Meister | Feng-Huang,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3502,,Alpha,Alpha,男 (Male),FW,火 (Fire),Justice,Spin Meister | Blast Mine | Omega Assault | Spin Meister | Spin Meister | Feng-Huang,145.0,138.0,126.0,106.0,102.0,102.0,112.0
