Name,Japanese Name,Element,Power,Tension,Type,Sub-Type,Shop 1,Shop 2,Duration (s)
Chaos Break,カオスブレイク,林 (Forest),100.0,100,Shoot,,Spirit Market,,7.14
Grand Fenrir,グランフェンリル,林 (Forest),85.0,80,Shoot,,Spirit Market,,9.59
Jet Stream,ジェットストリーム,山 (Mountain),100.0,100,Shoot,Long Shoot,Spirit Market,,9.93
Emperor Penguin No. 3,皇帝ペンギン３号,林 (Forest),100.0,100,Shoot,,Spirit Market,,8.14
Doom Break,デスブレイク,山 (Mountain),100.0,100,Shoot,,Spirit Market,,8.16
Fire Tornado DD,ファイアトルネードＤＤ,火 (Fire),85.0,80,Shoot,,Spirit Market,,5.87
Omega Assault,オメガアタック,無 (Void),100.0,100,Shoot,,Spirit Market,,8.52
Shell Burst,シェルビットバースト,無 (Void),85.0,80,Shoot,Long Shoot,Spirit Market,,5.69
Disaster Strike,ディザスターブレイク,山 (Mountain),70.0,70,Shoot,,Spirit Market,,5.56
The Dawn,ザ・バース,風 (Wind),85.0,80,Shoot,,Spirit Market,,7.39
Supernova,スーパーノヴァ,林 (Forest),100.0,100,Shoot,,Spirit Market,,12.62
Big Bang,ビッグバン,火 (Fire),100.0,100,Shoot,,Spirit Market,,10.01
The Earth,ジ・アース,山 (Mountain),100.0,100,Shoot,,Spirit Market,,11.85
Prime Legend,プライムレジェンド,風 (Wind),100.0,100,Shoot,,Spirit Market,,8.84
Field of Force,キラーフィールズ,林 (Forest),85.0,80,Offense,,Spirit Market,,6.22
Temporal Wall,時空の壁,風 (Wind),85.0,80,Keep,,Spirit Market,,7.84
Fiend Hand,魔王・ザ・ハンド,林 (Forest),100.0,100,Keep,,Spirit Market,,7.69
Soul Hand,タマシイ・ザ・ハンド,火 (Fire),100.0,100,Keep,,Spirit Market,,7.43
God Catch,ゴッドキャッチ,山 (Mountain),100.0,100,Keep,,Spirit Market,,6.11
Final Death Zone,,林 (Forest),100.0,100.0,Shoot,,Spirit Market,,
Scream of Eden,,林 (Forest),100.0,100.0,Shoot,,Spirit Market,,
The Earth: Infinity,,山 (Mountain),100.0,100.0,Shoot,,Spirit Market,,
Black Dawn,,風 (Wind),100.0,100.0,Shoot,,Spirit Market,,
Twister Tornado,,風 (Wind),100.0,100.0,Shoot,Counter Shoot,Spirit Market,,
Verdure Vortex,,林 (Forest),100.0,100.0,Offense,,Spirit Market,,
We Have Liftoff!,,林 (Forest),100.0,100.0,Keep,,Spirit Market,,
Royal Lancer,,山 (Mountain),100.0,100.0,Shoot,Long Shoot,Spirit Market,,
Flying Colours,,風 (Wind),85.0,80.0,Shoot,,Spirit Market,,
Inazuma Drop,イナズマ落とし,風 (Wind),70.0,70,Shoot,Counter Shoot,Chronicle Department Store,,5.49
Twin Boost,ツインブースト,火 (Fire),70.0,70,Shoot,,Chronicle Department Store,,6.46
Fire Tornado,ファイアトルネード,火 (Fire),60.0,60,Shoot,,Chronicle Department Store,,4.36
Inazuma-1,イナズマ１号,風 (Wind),70.0,70,Shoot,Counter Shoot,Chronicle Department Store,,4.07
Dragon Crash,ドラゴンクラッシュ,林 (Forest),50.0,50,Shoot,,Chronicle Department Store,,4.37
Death Zone,デスゾーン,林 (Forest),70.0,70,Shoot,,Chronicle Department Store,,10.55
Triangle Z,トライアングルＺ,火 (Fire),70.0,70,Shoot,,Chronicle Department Store,,8.79
Utter Gutsiness Bat,ド根性バット,火 (Fire),60.0,60,Shoot,Counter Shoot,Chronicle Department Store,,4.37
God Knows,ゴッドノウズ,風 (Wind),70.0,70,Shoot,,Chronicle Department Store,,7.39
Dragon Tornado,ドラゴントルネード,火 (Fire),70.0,70,Shoot,,Chronicle Department Store,,8.36
Fire Rooster,炎の風見鶏,火 (Fire),60.0,60,Shoot,Long Shoot,Chronicle Department Store,,5.42
Inazuma Break,イナズマブレイク,風 (Wind),100.0,100,Shoot,,Chronicle Department Store,,10.55
Emperor Penguin No. 2,皇帝ペンギン２号,林 (Forest),85.0,80,Shoot,,Chronicle Department Store,,10.33
Eternal Blizzard,エターナルブリザード,風 (Wind),60.0,60,Shoot,,Chronicle Department Store,,6.13
Fireball Storm,爆熱ストーム,火 (Fire),70.0,70,Shoot,,Chronicle Department Store,,7.42
Tsunami Boost,ツナミブースト,風 (Wind),50.0,50,Shoot,Long Shoot,Chronicle Department Store,,7.63
Death Zone 2,デスゾーン２,林 (Forest),85.0,80,Shoot,,Chronicle Department Store,,11.35
Astro Break,アストロブレイク,林 (Forest),60.0,60,Shoot,,Chronicle Department Store,,5.43
Meteor Blade,流星ブレード,火 (Fire),70.0,70,Shoot,Counter Shoot,Chronicle Department Store,,6.19
Legendary Wolf,ウルフレジェンド,風 (Wind),70.0,70,Shoot,Long Shoot,Chronicle Department Store,,6.91
Emperor Penguin No. 1,皇帝ペンギン１号,林 (Forest),85.0,80,Shoot,,Chronicle Department Store,,9.66
Gungnir,グングニル,風 (Wind),60.0,60,Shoot,Long Shoot,Chronicle Department Store,,6.87
Tri-Pegasus,トライペガサス,風 (Wind),85.0,80,Shoot,,Chronicle Department Store,,8.78
Butterfly Trance,バタフライドリーム,山 (Mountain),60.0,60,Shoot,,Chronicle Department Store,,5.77
Spectacle Crash,メガネクラッシュ,山 (Mountain),50.0,50,Shoot,,Chronicle Department Store,,5.9
Twin Boost F,ツインブーストＦ,火 (Fire),85.0,80,Shoot,,Chronicle Department Store,,7.19
Wyvern Crash,ワイバーンクラッシュ,林 (Forest),60.0,60,Shoot,,Chronicle Department Store,,8.31
Wyvern Blizzard,ワイバーンブリザード,風 (Wind),70.0,70,Shoot,,Chronicle Department Store,,8.09
Dark Phoenix,ダークフェニックス,林 (Forest),100.0,100,Shoot,,Chronicle Department Store,,9.13
Megaton Head,メガトンヘッド,山 (Mountain),70.0,70,Shoot,Counter Shoot,Chronicle Department Store,,5.34
Excalibur,エクスカリバー,風 (Wind),60.0,60,Shoot,Long Shoot,Chronicle Department Store,,5.69
The Typhoon,ザ・タイフーン,風 (Wind),60.0,60,Shoot,,Chronicle Department Store,,6.07
Tiger Storm,タイガーストーム,火 (Fire),85.0,80,Shoot,,Chronicle Department Store,,7.84
Dragon Slayer,ドラゴンスレイヤー,林 (Forest),70.0,70,Shoot,,Chronicle Department Store,,6.37
Gladius Arch,グラディウスアーチ,山 (Mountain),70.0,70,Shoot,Long Shoot,Chronicle Department Store,,5.47
Odin Sword,オーディンソード,山 (Mountain),70.0,70,Shoot,,Chronicle Department Store,,5.62
The Hurricane,ザ・ハリケーン,風 (Wind),85.0,80,Shoot,,Chronicle Department Store,,7.71
Fireball Screw,爆熱スクリュー,火 (Fire),85.0,80,Shoot,,Chronicle Department Store,,6.05
X Blast,Ｘブラスト,火 (Fire),70.0,70,Shoot,,Chronicle Department Store,,6.22
Doom Spear,デススピアー,林 (Forest),60.0,60,Shoot,Long Shoot,Chronicle Department Store,,5.29
Zephyr Shot,マッハウィンド,風 (Wind),50.0,50,Shoot,,Chronicle Department Store,,6.51
Doomsword Slash,デスソード,火 (Fire),60.0,60,Shoot,,Chronicle Department Store,,4.81
Jumping Jack,ぶっとびジャンプ,山 (Mountain),50.0,50,Shoot,Counter Shoot,Chronicle Department Store,,5.6
Katana Kick,伝来宝刀,山 (Mountain),60.0,60,Shoot,,Chronicle Department Store,Magic Moves (Odaiba Branch),5.52
Triangle ZZ,トライアングルＺＺ,火 (Fire),85.0,80,Shoot,,Chronicle Department Store,,6.61
Fortissimo,フォルテシモ,林 (Forest),50.0,50,Shoot,,Chronicle Department Store,,5.12
Doom Dive Drive,デスドロップ,火 (Fire),70.0,70,Shoot,,Chronicle Department Store,,6.84
Sidewinder,サイドワインダー,山 (Mountain),50.0,50,Shoot,,Chronicle Department Store,Magic Moves (Odaiba Branch),5.32
Black Ash,ブラックアッシュ,林 (Forest),70.0,70,Shoot,,Chronicle Department Store,,7.16
Bouncing Bunny,バウンサーラビット,林 (Forest),60.0,60,Shoot,,Chronicle Department Store,,6.52
Fission and Fusion,ダブルショット,無 (Void),60.0,60,Shoot,Long Shoot,Chronicle Department Store,,4.74
Dragon Drive,ドラゴンブラスター,風 (Wind),70.0,70,Shoot,,Chronicle Department Store,,5.74
Splitting Hares,エクストリームラビット,山 (Mountain),70.0,70,Shoot,,Chronicle Department Store,,6.34
Atomic Spin,ガンマストライク,林 (Forest),70.0,70,Shoot,Long Shoot,Chronicle Department Store,,5.43
No Future,デッドフューチャー,火 (Fire),85.0,80,Shoot,,Chronicle Department Store,,7.89
Dough Ray Me,やきもちスクリュー,火 (Fire),70.0,70,Shoot,Long Shoot,Chronicle Department Store,,6.47
Flurry Dash,疾風ダッシュ,風 (Wind),60.0,60,Offense,,Chronicle Department Store,,3.42
Illusory Ball,イリュージョンボール,林 (Forest),60.0,60,Offense,,Chronicle Department Store,,4.76
Scorching Tackle,ヒートタックル,火 (Fire),60.0,60,Offense,,Chronicle Department Store,,5.36
Bewildered,五里霧中,山 (Mountain),50.0,50,Offense,,Chronicle Department Store,,5.32
Heaven's Time,ヘブンズタイム,風 (Wind),85.0,80,Offense,,Chronicle Department Store,,5.81
Lightning Bolt,ライトニングアクセル,火 (Fire),70.0,70,Offense,,Chronicle Department Store,,4.66
Southern Cross,サザンクロスカット,林 (Forest),70.0,70,Offense,,Chronicle Department Store,,7.06
Foul Offence 3,ジャッジスルー３,火 (Fire),100.0,100,Offense,,Chronicle Department Store,,7.13
Angel Ball,エンゼルボール,風 (Wind),70.0,70,Offense,,Chronicle Department Store,,6.47
Devil Ball,デビルボール,林 (Forest),70.0,70,Offense,,Chronicle Department Store,,6.42
Future Eye,フューチャー・アイ,林 (Forest),50.0,50,Offense,,Chronicle Department Store,,6.09
Dragster,ゼロヨン,風 (Wind),60.0,60,Offense,,Chronicle Department Store,,5.34
Hey Presto,プレストターン,林 (Forest),60.0,60,Offense,,Chronicle Department Store,,4.92
Easy Breezy,そよかぜステップ,風 (Wind),60.0,60,Offense,,Chronicle Department Store,,5.02
Ball Lightning,ラウンドスパーク,火 (Fire),70.0,70,Offense,,Chronicle Department Store,,7.36
Rising Dragon,昇り龍,山 (Mountain),70.0,70,Offense,,Chronicle Department Store,,6.92
Acrobatic Keep,アクロバットキープ,山 (Mountain),60.0,60,Offense,,Chronicle Department Store,,5.86
Decoy Deploy,デコイ・リリース,無 (Void),85.0,80,Offense,,Chronicle Department Store,,7.76
The Wall,ザ・ウォール,山 (Mountain),60.0,60,Defense,Shoot Block,Chronicle Department Store,,6.02
Ghost Pull,怨霊,林 (Forest),60.0,60,Defense,,Chronicle Department Store,,6.28
Bamboo Pattern,かごめかごめ,山 (Mountain),70.0,70,Defense,,Chronicle Department Store,,5.37
Clone Defence,分身ディフェンス,林 (Forest),60.0,60,Defense,,Chronicle Department Store,,5.86
The Tower,ザ・タワー,風 (Wind),60.0,60,Defense,Shoot Block,Chronicle Department Store,,7.91
Photon Crash,フォトンフラッシュ,火 (Fire),60.0,60,Defense,,Chronicle Department Store,,5.42
Gravitation,グラビテイション,山 (Mountain),70.0,70,Defense,Shoot Block,Chronicle Department Store,,5.87
Sigma Zone,シグマゾーン,林 (Forest),85.0,80,Defense,,Chronicle Department Store,,5.81
Asteroid Belt,アステロイドベルト,林 (Forest),70.0,70,Defense,Shoot Block,Chronicle Department Store,,5.37
Ignited Steal,イグナイトスティール,火 (Fire),60.0,60,Defense,,Chronicle Department Store,,4.74
Frozen Steal,フローズンスティール,風 (Wind),60.0,60,Defense,,Chronicle Department Store,,4.62
Perfect Tower,パーフェクト・タワー,風 (Wind),85.0,80,Defense,,Chronicle Department Store,,7.02
Vac Attack,真空魔,風 (Wind),70.0,70,Defense,Shoot Block,Chronicle Department Store,,6.83
The Mountain,ザ・マウンテン,山 (Mountain),70.0,70,Defense,Shoot Block,Chronicle Department Store,,5.96
Mystifying Mist,ザ・ミスト,林 (Forest),60.0,60,Defense,,Chronicle Department Store,,8.11
Hunter's Net,ハンターズネット,林 (Forest),60.0,60,Defense,Shoot Block,Chronicle Department Store,,3.79
Runaway Train,ダッシュトレイン,火 (Fire),50.0,50,Defense,,Chronicle Department Store,Magic Moves (Odaiba Branch),4.89
Pancake Defence,かっとびディフェンス,山 (Mountain),70.0,70,Defense,Shoot Block,Chronicle Department Store,,6.91
Spatial Portal,ディメンションカット,林 (Forest),60.0,60,Defense,,Chronicle Department Store,,5.09
