Name,Type,Element,Passive,Hissatsu Name,Hissatsu Type,Hissatsu Element,Power
Burning Overdrive,Awakening,,Own AT/DF +30% | Shot AT +20% | Focus AT/DF +20% | Hissatsu Power +30% | Movement Speed Increase +50%,,,,
Keeper's Grit,Awakening,,Own AT/DF +40% | Final KP +20% (?)  | Hissatsu Power +30% | Movement Speed Increase +50%,,,,
Ironclad Guadian,Awakening,,Own AT +30% | Own DF +50% | Own Castle Wall DF +30% | Hissatsu Power +30% | Movement Speed Increase +50%,,,,
Elemental Catalyst,Awakening,,Own AT/DF +30% | Own Focus AT/DF +20% | Elemental Advantage Effectiveness +20% | Hissatsu Power +30% | Movement Speed Increase +50%,,,,
Instant Burst,Awakening,,Own AT/DF +30% | Focus AT/DF +20% | Reduce hissatsu cooldowns by 50% | Hissatsu Power +30% | Movement Speed Increase +50%,,,,
Standard Bearer Brynhildr,Keshin,林 (Forest),"For nearby players, Castle Wall DF +10%",Valkyrie's Signal,Defense,林 (Forest),100.0
Defender of Earth Atlas,Keshin,山 (Mountain),Save rate +5%,Majin the Hand,Keep,山 (Mountain),85.0
Winged Steed Pegasus,Keshin,風 (Wind),"When making a pass, Team Bond Power +50%",Pegasus Bolt,Offense,風 (Wind),100.0
Master Conductor Maestro,Keshin,林 (Forest),"When a player of the same element is nearby, Own Focus AT & DF +10%",Atomic Harmonic,Shoot,林 (Forest),85.0
Heroic Swordsman Lancelot,Keshin,火 (Fire),"When a player of a different element is nearby, Own Shot AT +10%",Lancelot Lunge,Shoot,火 (Fire),100.0
Brave Samurai Musashi,Keshin,山 (Mountain),"On the opposition half of the pitch, Own Shot AT +10%",Bushin Blades,Shoot,山 (Mountain),100.0
Thin Air Slasher Sickle Weasel,Keshin,風 (Wind),"On your half of the pitch, Own Scramble AT & DF +20%",Air Cut,Offense,風 (Wind),100.0
Supernatural Wingman Thunderbird,Keshin,風 (Wind),"For players of the same element, Scramble AT & DF +10%",Thunderclaw,Shoot,風 (Wind),85.0
Tin Titan Goliath,Keshin,風 (Wind),Save rate +5%,Titanic Shield,Keep,風 (Wind),100.0
Master Magician Trickster,Keshin,林 (Forest),Team Breach Rate +10%,Magician's Box,Shoot,林 (Forest),85.0
Drake Chevalier Dragoon,Keshin,風 (Wind),"On your half of the pitch, Own Focus AT & DF +20%",Dragon Storm,Defense,風 (Wind),100.0
Raven Wings Corvus,Keshin,山 (Mountain),Team Dash Foul Rate -15%,Roc and Roll,Shoot,山 (Mountain),100.0
"Front-Line Fighter, White Pawn",Keshin,火 (Fire),"For players of the same element, Castle Wall DF +10%",Rat-a-Tat Pass,Offense,火 (Fire),85.0
Hypersonic Fighter Scramjet,Keshin,風 (Wind),"On the opposition's half of the pitch, Own Scramble AT & DF +15%",Hyperdrive,Offense,風 (Wind),100.0
Ruler of the Seven Seas Poseidon,Keshin,風 (Wind),"On the opposition half of the pitch, Own Shot AT +10%",Trident Torpedo,Shoot,風 (Wind),100.0
Giant Usurper Gigante,Keshin,山 (Mountain),"When winning a Focus or Scramble Battle, Team Tension +10%",Giga Knuckle Sandwich,Keep,山 (Mountain),100.0
Snow Nymph Chione,Keshin,風 (Wind),"When a player of the same element is nearby, Own Shot AT +20%",Icicle Road,Shoot,風 (Wind),85.0
Metal Mammoth Behemoth,Keshin,山 (Mountain),Save rate +5%,Titanic Shield,Keep,山 (Mountain),100.0
Armoured Cavalry White Knight,Keshin,山 (Mountain),"For players of different elements, Focus AT & DF +10%",Destrier Charge,Shoot,山 (Mountain),85.0
Man-Made Monster Plasma Shadow DF,Keshin,風 (Wind),"On your half of the pitch, Team Focus AT & DF +10%",Shadow Guard,Defense,風 (Wind),85.0
Dicey Dicer Lot,Keshin,山 (Mountain),"When winning a Focus or Scramble Battle, Team Tension +10%",Lucky Dice,Keep,山 (Mountain),100.0
Living Nightmare Phantasma,Keshin,林 (Forest),"For nearby players, Focus AT & DF +10%",Black Briars,Offense,林 (Forest),100.0
Gigantic Garrison Gargantua,Keshin,山 (Mountain),"When making a pass, Team Bond Power +50%",Giga Knuckle Sandwich,Keep,山 (Mountain),100.0
Sun Deity Apollo,Keshin,火 (Fire),"For players of the same position, Shot AT +10%",Solar Flare,Shoot,火 (Fire),100.0
Lord of All Waters Neptune,Keshin,風 (Wind),"On the opposition's half of the pitch, Own Focus AT & DF +15%",Trident Torpedo,Shoot,風 (Wind),100.0
Fire Jotun Surtr,Keshin,火 (Fire),"When a player of the same element is nearby, Own Shot AT +20%",Fireball Storm,Shoot,火 (Fire),70.0
Wise Monarch White King,Keshin,火 (Fire),"When winning a Focus or Scramble Battle, Team Tension +10%",Crown Fire,Keep,火 (Fire),100.0
Royal Enchantress White Queen,Keshin,林 (Forest),"On your half of the pitch, Team Focus AT & DF +10%",Checkmate,Shoot,林 (Forest),85.0
Watchtower Sentinel White Rook,Keshin,山 (Mountain),"When a player of the same element is nearby, Own Castle Wall DF +20%",Titanic Slam,Defense,山 (Mountain),100.0
Divine Messenger White Bishop,Keshin,林 (Forest),"For nearby players, Scramble AT & DF +10%",Dark Space,Defense,林 (Forest),85.0
Dark Demigod Black Butcher,Keshin,林 (Forest),"For players of the same position, Shot AT +10%",Executioner's Axe,Shoot,林 (Forest),100.0
Light-Speed Knight Sir Rabby,Keshin,林 (Forest),"For player of the same position, Scramble AT & DF +10%",Full Moon Fever,Shoot,林 (Forest),100.0
Supreme War Chief Pendragon,Keshin,無 (Void),Team Breach Rate +10%,Dark Reaver,Shoot,無 (Void),100.0
