personaje,pos_DS,version_DS,ATT_DS,CTL_DS,DEF_DS,pos_STR,version_STR,ATT_STR,CTL_STR,DEF_STR
Alan Master,MC,IE1 Royal Academy,66,66,60,MC,Alan Master (Neo Japon),67,69,71
Alexia Sand,DF,IE2 Triple C,48,54,61,DF,Alexia Sand,57,61,70
Apollo Light,DF,IE2 Zeus,60,64,66,DF,Apollo Light,63,62,70
Archer Hawkins,DF,IE3 Inazuma Japan,60,49,57,DF,Archer Hawkins,69,59,80
Argie Bargie,DF,IE2 Royal Academy Redux,58,57,63,DF,Argie Bargie,57,58,70
Arion Matlock,MC,IE2 Zeus,59,66,59,MC,Arion Matlock,62,81,57
Arkew,DF,IE2 Diamond Dust,55,59,58,DF,Arkew,53,65,62
Artie Mishman,MC,IE2 Zeus,64,63,57,MC,Artie Mishman,70,67,59
Astaroth,PR,IE3 Makai Gundan Z,33,32,64,PR,Astaroth,43,39,81
Austin Hobbes,DL,IE3 Inazuma Japan,69,62,42,DL,Austin Hobbes,86,75,49
Axel Blaze,DL,IE1 Raimon,76,75,49,DL,Axel Blaze (ILJ),89,85,49
Baller,DF,IE2 The Chaos,60,60,67,DF,Baller,51,62,72
Bela Bluebells,MC,IE2 Triple C,58,59,55,MC,Bela Bluebells,75,74,59
Bellatrix,MC,IE2 The Genesis,67,72,53,MC,Bellatrix,77,83,57
Ben Simmons,DF,IE1 Royal Academy,55,62,62,DF,Ben Simmons,57,59,72
Bobby Shearer,DF,IE1 Raimon,60,59,73,DF,Bobby Shearer (Mondial Selection),59,62,80
Bomber,MC,IE2 The Chaos,74,77,57,MC,Bomber,73,68,57
Bump Trungus,DF,IE3 Ogre,40,60,71,DF,Bump Trungus,58,59,78
Byron Love,MC,IE2 Zeus,79,72,62,MC,Byron Love (Adulte),86,86,64
Cadence Soundtown,MC,IE2 Mary Times Memorial,62,58,55,MC,Cadence Soundtown,69,80,57
Caleb Stonewall,MC,IE2 Royal Academy Redux,76,66,56,MC,Caleb Stonewall (ILJ),84,89,64
Camellia Travis,DF,IE3 Special Players,35,51,66,DF,Camellia Travis,46,59,87
Canon Evans,DL,IE2 Special Players,62,78,58,DL,Canon Evans,77,67,55
