juego,nombre,posicion,elemento,ATT,CTL,DEF
IE1,Mark Evans,PR,tierra,44,45,82
IE1,Nathan Swift,DF,aire,62,68,69
IE1,Jack Wallside,DF,tierra,60,65,75
IE1,Jim Wraith,DF,bosque,59,62,73
IE1,Tod Ironside,DF,fuego,53,59,69
IE1,Steve Grim,MC,aire,75,80,68
IE1,Tim Saunders,MC,bosque,74,80,60
IE1,Sam Kincaid,MC,fuego,79,69,56
IE1,Maxwell Carson,DL,aire,75,76,53
IE1,Axel Blaze,DL,fuego,84,84,54
IE1,Kevin Dragonfly,DL,bosque,78,73,50
IE1,William Glass,DL,bosque,71,69,46
IE1,Pip Daltry,DF,bosque,45,51,64
IE1,Seymour Hillman,PR,tierra,42,43,78
IE1,Charles Island,DF,bosque,68,75,78
IE1,Garret Hairtown,DF,aire,66,70,74
IE1,Arthur Sweet,DF,tierra,69,74,76
IE1,Peter Mildred,MC,bosque,82,84,74
IE1,Josh Nathaniel,MC,bosque,77,85,79
IE1,Edward Gladstone,MC,fuego,79,81,63
IE1,Tyler Thomas,MC,tierra,85,87,80
IE1,Joseph Yosemite,DL,aire,75,84,62
IE1,Ian Suffolk,MC,fuego,82,83,73
IE1,Constant Builder,DL,fuego,77,80,51
IE1,Ted Poe,DL,bosque,77,85,59
IE1,Marshall Heart,DL,aire,73,79,52
IE1,Dom Foreman,MC,tierra,85,82,68
IE1,Slot MacHines,DF,fuego,67,75,80
IE1,Bill Steakspear,DF,tierra,63,75,79
IE1,Jimmy Mach,DL,aire,68,79,49
IE1,Tony Hacker,MC,bosque,67,78,74
IE1,Dan Rhino,MC,tierra,81,74,55
IE1,Vin Fleetwood,DL,aire,78,78,57
IE1,George Winters,DL,bosque,66,88,58
IE1,Den Hidden,PR,tierra,44,36,81
IE1,Shaun Imago,DF,aire,40,45,67
IE1,Joe Straiter,PR,fuego,34,34,78
IE1,Rupert Spiers,MC,aire,70,81,74
IE1,Mark Sudor,PR,tierra,38,36,73
IE1,Ringo Stagg,DF,aire,58,64,76
IE1,Jody MacGough,DF,tierra,44,61,68
IE1,Jeeves Dropper,MC,aire,60,75,54
IE1,Dan Dandy,DF,aire,56,53,73
IE1,Rory Boomer,MC,tierra,79,74,58
IE1,Tim Toppel,PR,bosque,42,41,72
IE1,Ames Shivers,PR,bosque,37,36,69
IE1,Chris Glover,MC,bosque,77,69,79
IE1,Thor Toise,MC,tierra,64,66,41
IE1,Colin Salts,DL,bosque,72,57,31
IE1,Christian Dear,DF,bosque,60,65,75
IE1,Iggy Loyaller,DL,bosque,72,66,50
IE1,Conan Fox,PR,tierra,29,37,67
IE1,Spike Coiffs,DF,aire,47,66,63
IE1,Roger Rocket,DF,aire,40,46,69
IE1,Bill Teller,DF,bosque,50,68,75
IE1,Billy Nomates,PR,bosque,45,37,82
IE1,Harry Caine,PR,aire,43,43,74
IE1,Martin Sheller,DL,fuego,76,65,56
IE1,Alfie Fine,PR,bosque,39,32,77
IE1,Cameron Mann,MC,tierra,71,71,61
IE1,Don Keys,DL,fuego,61,55,40
IE1,Sonny East,PR,bosque,36,35,60
IE1,Dan Carpenter,PR,tierra,28,35,61
IE1,Doug Walker,PR,tierra,31,36,61
IE1,Joseph King,PR,fuego,44,44,79
IE1,Frank Drake,DF,aire,56,63,71
