juego,equipo,nombre,posicion,elemento,ATT,CTL,DEF,Kick,Body,Control,Guard,Speed,Stamina,Guts
IE1,Raimon,Mark Evans,PR,tierra,52,77,98,72,72,70,77,68,69,79
IE1,Raimon,Jack Wallside,DF,tierra,62,73,80,62,68,62,66,49,54,54
IE1,Raimon,Jim Wraith,DF,bosque,60,62,75,58,53,75,59,53,62,60
IE1,Raimon,Bobby Shearer,DF,bosque,78,77,97,76,61,72,76,60,72,72
IE1,Raimon,Tod Ironside,DF,fuego,52,54,64,54,55,53,56,59,56,65
IE1,Raimon,Nathan Swift,DF,aire,67,80,62,64,58,68,54,76,58,56
IE1,Raimon,Steve Grim,MC,aire,75,93,73,62,64,71,64,71,71,71
IE1,Raimon,Tim Saunders,MC,bosque,73,93,59,63,76,61,60,55,48,58
IE1,Raimon,Sam Kincaid,MC,fuego,84,60,57,71,57,56,56,52,56,76
IE1,Raimon,Jude Sharp,MC,aire,77,99,84,63,79,79,79,76,76,68
IE1,Raimon,Maxwell Carson,DL,aire,80,75,50,60,56,78,64,60,56,62
IE1,Raimon,Kevin Dragonfly,DL,bosque,93,67,47,71,60,59,61,60,64,70
IE1,Raimon,Axel Blaze,DL,fuego,98,86,51,79,66,76,64,72,68,60
IE1,Raimon,William Glass,DL,bosque,69,56,40,56,51,68,57,56,53,60
IE1,Occult,Mask,PR,aire,42,59,88,58,56,70,68,56,60,68
IE1,Occult,Zombie,PR,tierra,30,42,50,47,46,50,40,51,74,56
IE1,Occult,Styx,DF,bosque,59,58,60,60,53,60,52,63,65,58
IE1,Occult,Franky,DF,tierra,49,52,84,55,59,47,70,52,61,48
IE1,Occult,Undead,DF,fuego,47,58,76,52,58,56,61,56,79,53
IE1,Occult,Creepy,DF,aire,49,56,66,52,54,57,57,60,54,63
IE1,Occult,Jiangshi,MC,aire,60,75,51,55,62,60,52,56,61,62
IE1,Occult,Mummy,MC,bosque,58,63,53,54,52,60,52,62,75,61
IE1,Occult,Grave,MC,fuego,61,89,49,57,65,60,52,71,56,55
IE1,Occult,Wolfy,MC,fuego,75,98,57,61,70,77,52,79,69,67
IE1,Occult,Ghost,MC,bosque,58,54,44,55,50,54,44,48,56,54
IE1,Occult,Blood,MC,tierra,78,56,48,68,52,52,51,56,62,60
IE1,Occult,Dollman,DL,bosque,58,48,32,52,53,45,48,49,53,55
IE1,Occult,Noir,DL,bosque,57,46,33,52,45,48,52,52,58,45
IE1,Occult,Alien,DL,aire,54,48,32,48,51,51,50,48,55,44
IE1,Occult,Talisman,DL,bosque,79,71,33,62,64,56,48,60,62,63
IE1,Wild,Boar,PR,fuego,48,42,87,68,44,44,69,60,62,69
IE1,Wild,Bullford,PR,fuego,28,45,97,41,68,48,77,31,51,64
IE1,Wild,Toad,DF,bosque,44,49,53,48,52,48,48,54,57,50
IE1,Wild,Fishman,DF,bosque,47,59,56,52,64,51,51,51,62,51
IE1,Wild,Raccoon,DF,bosque,47,50,51,53,53,53,44,51,44,47
IE1,Wild,Lion,DF,tierra,77,49,81,78,52,47,64,55,69,68
IE1,Wild,Monkey,MC,aire,56,67,45,54,64,51,48,53,52,54
IE1,Wild,Chameleon,MC,aire,46,51,49,44,45,45,55,53,60,48
IE1,Wild,Mouseman,MC,tierra,46,66,43,42,50,52,44,79,54,45
IE1,Wild,Koala,MC,bosque,52,52,46,52,45,53,51,48,46,49
IE1,Wild,Chicken,MC,fuego,47,61,46,44,52,56,46,64,67,54
IE1,Wild,Eagle,MC,aire,72,92,54,61,68,62,52,68,71,68
IE1,Wild,Panda,DL,fuego,57,48,33,52,51,48,52,52,51,46
IE1,Wild,Cheetah,DL,aire,80,69,35,63,47,69,55,79,42,47
IE1,Wild,Gorilla,DL,tierra,96,63,46,78,66,49,64,54,52,67
IE1,Wild,Snake,DL,bosque,64,70,33,55,63,62,49,55,65,45
IE1,Brainwashing,Feldt,PR,bosque,53,77,97,75,69,68,76,75,78,76
IE1,Brainwashing,Under,PR,bosque,29,40,87,44,40,40,69,48,42,70
IE1,Brainwashing,Waters,DF,bosque,46,47,55,52,48,51,52,45,54,45
