nombre,posicion,juegos,ATT,CTL,DEF
???,DF,IE3,56,62,77
???,DL,IE3,76,76,46
???,MC,IE3,70,76,58
???,PR,IE3,34,34,80
A. Lovely,DF,IE1,47,48,60
A. Woodbridge,MC,IE1 IE2 IE3,70,70,56
AME,MC,GO3,64,73,58
Aaron Gachinsky,MC,GO3,74,77,56
Aaron Gossamer,PR,GO2 IE3,34,36,76
Aaron Newgate,DF,GO1 GO2,48,64,74
Aaron Peacy,PR,IE1 IE2 IE3,28,36,70
Abby de Valera,MC,GO1 GO2 GO3,71,79,48
Abe Roof,DF,GO1 GO2 GO3,51,62,68
Abe Seiler,MC,IE1 IE2 IE3,77,71,54
Abel Bumpkin,PR,GO1 GO2 GO3,29,32,78
Abel Forager,PR,IE3,27,26,70
Abeshima,DL,GO3,73,66,30
Abigor,DF,IE3,65,60,77
Abram Cadabra,PR,GO1 GO2 GO3,31,30,75
Ace Bragg,MC,IE1 IE2 IE3,76,77,68
Ace Breaker,DF,IE1 IE2 IE3,55,66,78
Ace Fettick,PR,IE1 IE2 IE3,28,28,76
Ace Irvin,MC,GO2 IE1 IE2 IE3,60,70,50
Ace Server,PR,GO2 GO3 IE1 IE2 IE3,38,36,81
Ace Slider,PR,IE2 IE3,40,37,77
Achilles Chinner,PR,IE2 IE3,36,38,76
Acme Rapture,MC,GO1 GO2 GO3,64,80,54
Ada Vyper,DL,GO1 GO2 GO3,74,71,39
Adam Hesive,DF,IE1 IE2 IE3,50,66,71
Adam Icklock,PR,IE1 IE2 IE3,28,27,64
Adam Marunga,MC,IE3,79,88,59
Adam Montayne,DL,IE3,73,84,30
Adam Nesiac,DF,IE1 IE2 IE3,60,64,79
Adam Orable,MC,GO1 GO3,74,80,64
Adam Ropes,PR,IE2 IE3,36,36,76
Adam Senseiju,PR,GO3,26,28,73
Adam Venturus,DL,IE3,66,61,43
Adamant Walhalla,DF,GO1 GO2 GO3,50,55,77
Adarn Shame,PR,GO1 GO2 GO3,26,28,74
Ade Posting,DL,IE1 IE2 IE3,60,61,50
Adel Siddique,DL,IE3,69,75,50
Adel Tactor,DF,IE2 IE3,58,56,73
Adelpha Lovelace,DF,GO2 GO3 IE2 IE3,52,59,76
"Adi ""Gecko"" Sivfeet",MC,GO2 GO3,64,76,48
Adi Sivfeet,MC,GO1,72,82,54
Adora Shivers,MC,GO2 GO3 IE3,66,71,46
Adrastus Argos,DF,GO3,52,60,78
Adrian Heartly,DF,IE2 IE3,64,66,72
Adrian Speed,DL,GO2 GO3 IE1 IE2 IE3,74,74,38
Adé Kébé,MC,GO1 GO2 GO3,66,75,53
Aegir Sefaid,DF,GO3,56,62,79
Aessop Fabel,DF,IE1 IE2 IE3,58,58,67
Agnethe Presari,DF,GO2 GO3,54,64,89
Ai Machina,PR,GO3,29,35,79
Aidan Model,DL,IE1 IE2 IE3,70,60,38
Aidull Wanabi,DL,IE3,72,68,46
Aimé Quintet,DF,GO1 GO2 GO3,53,60,78
Ainsley Burns,DL,IE1 IE2 IE3,65,72,42
Aitor Cazador,DF,GO1 GO2 GO3,49,61,77
Akra,DF,GO3,58,60,68
Al Askan,DL,IE1 IE2 IE3,68,75,55
Al Chemmy,DF,IE1 IE2 IE3,62,66,74
Al Istatin,MC,IE1 IE2 IE3,71,70,59
Al Itchen,MC,IE2 IE3,66,69,54
Al Kazam,DF,GO1 GO2 GO3,47,53,70
Al Mannack,DF,IE1 IE2 IE3,44,61,73
Al Opino,PR,IE3,33,35,70
Al Overa,MC,GO1 GO2 GO3,65,72,61
Al Plates,DL,IE1 IE2 IE3,64,72,40
Al Reddie,MC,IE1 IE2 IE3,63,69,51
Al Stringer,DF,IE2 IE3,49,55,68
Al Urgy,DF,IE1 IE2 IE3,55,61,71
Al Woo,MC,GO2 GO3,69,81,60
Alain Favreau,DL,IE3,76,79,40
Alan Carte,MC,IE1 IE2 IE3,77,63,41
Alan Coe,MC,IE1 IE2 IE3,65,62,50
Alan Downhill,DF,GO1 IE3,52,62,76
Alan Master,MC,IE1 IE2 IE3,75,78,73
Alan McCallum,DL,GO1 GO2 GO3,72,68,45
Alan Mode,DF,IE1 IE2 IE3,51,55,60
Alan Most,DF,IE1 IE2 IE3,55,57,71
Alan Sumner,DF,GO2 GO3 IE2 IE3,50,66,84
Alben Moretti,MC,GO1 GO2 GO3,57,69,41
Albert Denver,DF,GO1 IE3,50,59,78
Albert Green,PR,IE1 IE2 IE3,32,35,80
Albert Wister,PR,IE1 IE2 IE3,32,38,66
Albion Lumina,PR,GO1 GO2 GO3,33,33,81
Alec Dote,PR,IE1 IE2 IE3,28,36,60
Alec Smart,PR,IE1 IE2 IE3,29,30,60
Alessandro Rossa,MC,IE3,74,78,61
Alessandro il Grande,PR,GO1 GO2 GO3,31,34,79
"Alex ""Prof"" Gottlieb",MC,GO2,60,72,57
Alex Copple,PR,IE2 IE3,41,42,75
Alex Dauger,DF,IE2 IE3,64,70,78
Alex Gottlieb,MC,GO1 GO3,60,72,58
Alex Hawke,PR,IE3,45,36,63
Alex Lovely,DF,IE2 IE3,50,52,66
Alex Zabel,DL,GO1 GO2 GO3,85,79,42
Alexander Brave,MC,IE1 IE2 IE3,69,78,53
Alexander Hausen,DF,IE3,61,67,77
Alexei Karnov,PR,GO3,35,37,78
Alexia Sand,DF,IE2 IE3,58,62,75
Alexis Watchorn,DL,GO2 GO3 IE2 IE3,68,66,41
Alf Groundsman,DF,IE1 IE2 IE3,55,60,75
Alf Holmes,PR,IE1 IE2 IE3,25,27,76
Alfa,DL,GO3,79,75,46
Alfie Fine,PR,GO2 GO3 IE1 IE2 IE3,34,31,77
Alfonse Way,MC,IE1 IE2 IE3,58,60,50
Alfred Meenan,DF,IE1 IE2 IE3,58,58,71
Alfred Veteran,PR,GO3,33,26,79
Algo Rithm,DL,GO1 GO2 GO3,72,71,45
Algy Kelp,MC,IE2 IE3,68,72,62
Ali Caiman,DL,IE3,79,74,47
Alice Nutty,DF,IE2 IE3,58,56,66
Alicia Odde,DF,GO1 GO2 GO3,50,54,78
Alien 1,PR,GO3,33,35,78
Alien 10,DL,GO3,76,69,51
Alien 11.,DL,GO3,75,73,42
Alien 2,DF,GO3,54,58,77
Alien 3,DF,GO3,54,62,77
Alien 4,DF,GO3,57,57,76
Alien 5,DF,GO3,51,59,77
Alien 6,MC,GO3,70,77,55
Alien 7,MC,GO3,70,76,53
Alien 8,MC,GO3,65,78,55
Alien 9,DL,GO3,77,68,51
Alistair Horizon,MC,IE1 IE2 IE3,61,77,43
Alma Verchu,MC,GO1 GO2 GO3,67,78,69
Alpha,DL,GO2,80,76,46
Alton Cotts,MC,IE2 IE3,68,73,75
Alton Oldhat,MC,IE1 IE2 IE3,68,67,41
Altum,PR,GO3,31,34,77
Amahisa,DF,GO3,55,61,87
Amanda Jurr,MC,GO1 GO2 GO3,58,72,42
Amanda Turner,MC,GO3,69,76,56
Amano,MC,GO3,66,69,55
Amaranto Rubino,MC,IE3,66,67,60
Amaru,DL,GO3,74,70,39
Amase Reia,MC,GO3,65,79,58
"Ambrose ""Amber"" Ericson",PR,GO2 GO3,28,30,78
Ambrose Ericson,PR,GO1,27,31,83
Ameen Abel,DF,IE3,48,52,67
Amelio Thyst,DF,GO1 GO2,47,59,84
Amen,DF,GO3,54,64,79
Ames Shivers,PR,IE1 IE2 IE3,36,35,68
"Amir ""Dreams"" Rika",DL,GO2,75,67,32
Amir Rika,DL,GO3 IE3,67,64,32
Amy Peach,MC,IE2 IE3,73,73,53
Amy Sargent,MC,GO1 GO2 GO3,64,70,68
Amy Spires,DF,IE2 IE3,52,58,69
Amy Stinger,DF,IE2 IE3,46,62,64
An Tafuri,DF,GO2 GO3,42,46,74
Ananshi,MC,GO3,68,85,62
Anas Eidah,DF,GO2 GO3,51,56,83
Anazawa,DF,GO3,56,62,83
Anders Thettock,DL,IE3,69,66,40
Andrea Bruzel,DF,GO3,56,52,63
Andrew Hooper,DL,IE2 IE3,72,72,50
Andrew Meikle,PR,IE1 IE2 IE3,31,37,64
Andrｺ Pinson,DF,IE3,54,71,73
Andy,DF,GO2 GO3 IE3,48,53,72
Andy Chronic,DF,IE1 IE2 IE3,49,68,81
Andy Craft,DL,IE1 IE2 IE3,60,56,33
Andy Crafter,DL,IE1 IE2 IE3,68,67,47
Andy Fudge,DL,IE2 IE3,76,79,52
Andy Kareem,DF,GO1 GO2,53,60,75
Andy Roff,DF,IE1 IE2 IE3,49,64,71
Andy Sided,DF,IE1 IE2 IE3,58,64,75
Andy Wallpole,MC,IE1 IE2 IE3,71,72,55
Anfaira D’vantage,MC,IE3,62,79,76
Angelo Gabrini,MC,GO1 GO2 GO3 IE3,70,79,59
Angus Hogg,DL,IE2 IE3,60,56,32
Aniki,PR,GO3,30,28,77
Anil Latikal,DF,IE3,44,47,60
Anin,PR,GO3,30,31,77
Ankie,MC,GO3,69,74,56
Ann Taisie,DL,IE2 IE3,76,76,52
Anna Bugeisha,DF,GO3,49,60,82
Anna Bugeisha,DL,GO2 IE2 IE3,70,65,42
Anna Mite,DF,IE3,54,61,69
