Name (JPN romaji),Name (FR),posicion,Element,ATT,CTL,DEF,Kick,Body,Control,Guard,Speed,Catch
Fubuki Shirou (Shirou - Raimon 2),Shawn Froste (Shawn - Raimon 2),DF,Wind,57,58,73,80.0,60.0,80.0,94.0,110.0,80.0
Kabeyama Heigorou (Raimon 1),Jack Wallside (Raimon 1),DF,Earth,57,48,81,80.0,60.0,80.0,104.0,60.0,90.0
Rihm,Rihm,DL,Wood,70,68,36,90.0,72.0,80.0,60.0,102.0,80.0
Someoka Ryuugo (Raimon 1),Kevin Dragonfly (Raimon 1),DL,Wood,73,63,36,94.0,70.0,80.0,60.0,80.0,80.0
Kisaragi Mako ,Maddie Moonlight,DL,Wood,64,63,36,80.0,70.0,80.0,60.0,84.0,70.0
Ichinose Kazuya (Raimon 1),Erik Eagle (Raimon 1),MC,Wood,74,64,50,90.0,70.0,82.0,70.0,82.0,70.0
Megane Kakeru (Raimon 1),Willy Glass (Raimon 1),DL,Wood,73,63,43,92.0,70.0,90.0,70.0,70.0,72.0
Megane Kakeru (Raimon 2),Willy Glass (Raimon 2),DL,Wood,72,63,43,90.0,72.0,90.0,70.0,70.0,72.0
Maygar Nathan ,Maygar Neysan,MC,Earth,68,64,50,80.0,72.0,90.0,70.0,70.0,92.0
Sangoku Taichi ,Samguk Han,PR,Fire,36,38,76,70.0,72.0,80.0,72.0,80.0,100.0
Raffaele Generani ,Raffaele Generani,DL,Earth,75,62,49,100.0,72.0,70.0,80.0,82.0,70.0
Handa Shinichi (Raimon 1),Steve Grim (Raimon 1),MC,Wind,68,65,57,82.0,70.0,82.0,80.0,90.0,80.0
Cain Saito ,Keeanan DiFortune,PR,Wood,35,36,85,70.0,70.0,70.0,82.0,80.0,112.0
McCall Kisara ,Jareel Mangrove,DF,Fire,64,56,72,90.0,72.0,90.0,92.0,70.0,70.0
Domon Asuka (Raimon 1),Bobby Shearer (Raimon 1),DF,Wood,50,54,72,70.0,70.0,70.0,92.0,80.0,82.0
Kamezaki Kappa ,Karl Kappa,PR,Wind,44,37,80,92.0,70.0,70.0,90.0,90.0,102.0
Domon Asuka (Raimon 2),Bobby Shearer (Raimon 2),DF,Wood,57,56,72,80.0,72.0,80.0,92.0,80.0,80.0
Hori Michiko ,Hellen Hearth,DF,Wood,59,59,70,80.0,72.0,92.0,90.0,80.0,70.0
Hebino Makito ,Albion Lumina,PR,Earth,38,40,86,70.0,70.0,102.0,92.0,80.0,110.0
Tamano Gorou ,Paul Peabody,DF,Wind,51,56,70,70.0,72.0,80.0,90.0,80.0,102.0
Gini Geino ,Jimi Gaines,DF,Wood,53,58,78,70.0,70.0,92.0,100.0,80.0,72.0
Kabeyama Heigorou (Inazuma Japan),Jack Wallside (Inazuma Japon),DF,Earth,64,56,80,90.0,72.0,90.0,102.0,70.0,90.0
Kabeyama Heigorou (Raimon 2),Jack Wallside (Raimon 2),DF,Earth,59,54,80,80.0,70.0,90.0,102.0,60.0,92.0
Genda Koujirou (Shin Teikoku),Joseph King (Nouv. Royal Academy),PR,Fire,41,38,87,80.0,70.0,92.0,102.0,70.0,110.0
Makiya Hiroshi ,Mark Hillvalley,DF,Earth,62,50,86,90.0,70.0,72.0,110.0,60.0,92.0
Marco Maseratti ,Marco Maseratti,DF,Earth,51,56,87,70.0,70.0,80.0,112.0,82.0,90.0
Rococo Urupa ,Hector Helio,PR,Earth,44,36,89,92.0,70.0,70.0,110.0,82.0,110.0
Gigi Blasi ,Gigi Blasi,PR,Wind,38,36,89,72.0,70.0,90.0,112.0,60.0,110.0
Kidou Yuuto (Raimon 1),Jude Sharp (Raimon 1),MC,Wind,62,72,36,70.0,80.0,94.0,50.0,90.0,80.0
Diam,Diam,DL,Wood,79,68,36,102.0,82.0,90.0,60.0,70.0,60.0
Gouzu ,Dva,DF,Wood,61,65,48,82.0,80.0,100.0,62.0,90.0,90.0
Sakuma Jirou (Teikoku),David Samford (Royal Academy),DL,Wood,71,69,36,92.0,80.0,80.0,60.0,92.0,80.0
Yuukoku Hiroyuki ,John Tassman,DL,Wood,72,71,36,90.0,80.0,90.0,60.0,90.0,84.0
Maquia,Mercury,DL,Wind,73,71,43,92.0,80.0,92.0,70.0,90.0,70.0
Metron,Metron,DL,Wind,73,71,44,92.0,80.0,90.0,72.0,90.0,80.0
Yamino Kageto (Dark Emperors),Shadow (Empereurs Noirs),DL,Wood,74,69,43,94.0,80.0,90.0,70.0,80.0,80.0
Kimoro ,Zarbi,DL,Wood,77,69,45,100.0,80.0,80.0,74.0,90.0,80.0
Kito Ryand ,Kito Ryand,MC,Fire,75,68,50,90.0,82.0,90.0,70.0,72.0,90.0
Shishido Sakichi (Raimon 1),Sam Kincaid (Raimon 1),MC,Fire,60,68,50,70.0,82.0,80.0,70.0,80.0,102.0
Desarm,Dvalin,PR,Fire,40,41,76,80.0,82.0,80.0,70.0,82.0,100.0
Kazemaru Ichirouta (Dark Emperors),Nathan Swift (Empereurs Noirs),DL,Wind,73,73,49,92.0,80.0,90.0,80.0,102.0,60.0
Kurama Norihito ,Michael Balzack,DL,Earth,86,69,49,112.0,80.0,92.0,80.0,80.0,60.0
Ryuu Skell ,Li Leug,MC,Wind,72,67,57,90.0,80.0,70.0,80.0,92.0,72.0
Gouenji Masato ,Syon Blaze,DL,Fire,87,71,50,112.0,80.0,100.0,82.0,80.0,70.0
Narukami Kenya (Teikoku),Alan Master (Royal Academy),MC,Wind,60,70,57,70.0,80.0,80.0,80.0,94.0,80.0
Jimon Daiki (Teikoku),Daniel Hatch (Royal Academy),DL,Wood,73,67,49,94.0,80.0,80.0,80.0,80.0,80.0
Arute Saneki ,Artie Mishman,MC,Wind,70,67,59,80.0,80.0,102.0,82.0,60.0,80.0
Demete Yutaka (Zeus),Jonas Demetrius (Zeus),DL,Fire,71,68,49,92.0,82.0,80.0,80.0,80.0,80.0
Ichinose Kazuya (Raimon 2),Erik Eagle (Raimon 2),MC,Wood,77,72,57,90.0,82.0,102.0,80.0,80.0,80.0
Reize,Janus,MC,Wood,68,74,57,80.0,80.0,90.0,80.0,104.0,80.0
Bomber,Bomber,MC,Fire,73,68,57,90.0,82.0,80.0,80.0,80.0,82.0
Guel ,Gaeiel,DL,Wind,71,74,49,90.0,80.0,84.0,80.0,110.0,80.0
Sein ,Sael,DL,Wood,73,75,51,90.0,80.0,100.0,84.0,100.0,80.0
Demete Yutaka (Neo Japan),Jonas Demetrius (Neo Japon),DL,Fire,72,70,49,90.0,82.0,90.0,80.0,80.0,92.0
Ichinose Kazuya (Mondial Selection),Erik Eagle (Mondial Selection),MC,Wood,83,69,57,102.0,80.0,92.0,80.0,80.0,90.0
Coyote ,Avinash Chowhury,DL,Wind,77,67,49,100.0,80.0,82.0,80.0,80.0,92.0
Gojou Masaru (Teikoku),Gus Martin (Royal Academy),DF,Wood,59,62,62,80.0,80.0,90.0,80.0,82.0,82.0
Ottorino Nobili ,Ottorino Nobili,DF,Wood,50,56,64,70.0,82.0,70.0,82.0,70.0,110.0
Kazemaru Ichirouta (Raimon 1),Nathan Swift (Raimon 1),DF,Wind,57,66,62,80.0,80.0,80.0,80.0,114.0,60.0
Otonashi Haruna ,Celia Hills,MC,Wind,63,76,57,70.0,82.0,100.0,80.0,102.0,60.0
Matsuno Kuusuke (Raimon 1),Maxwell Carson (Raimon 1),DL,Wind,67,69,50,82.0,80.0,90.0,82.0,80.0,70.0
Mukata Tsutomu ,Tyler Murdock,DL,Earth,74,72,49,90.0,82.0,102.0,80.0,80.0,70.0
