nombre,posicion,juegos,ATT,CTL,DEF
???,DF,IE3,58,62,74
???,DL,IE3,80,75,44
???,MC,IE3,75,78,64
???,PR,IE3,36,33,82
A. Lovely,DF,IE1,50,48,58
A. Woodbridge,MC,IE1 IE2 IE3,74,73,62
AME,MC,GO3,69,76,64
Aaron Gachinsky,MC,GO3,77,79,62
Aaron Gossamer,PR,GO2 IE3,34,36,78
Aaron Newgate,DF,GO1 GO2,52,66,72
Aaron Peacy,PR,IE1 IE2 IE3,29,35,75
Abby de Valera,MC,GO1 GO2 GO3,75,80,53
Abe Roof,DF,GO1 GO2 GO3,54,62,65
Abe Seiler,MC,IE1 IE2 IE3,79,74,60
Abel Bumpkin,PR,GO1 GO2 GO3,31,31,80
Abel Forager,PR,IE3,28,26,75
Abeshima,DL,GO3,76,65,28
Abigor,DF,IE3,66,61,74
Abram Cadabra,PR,GO1 GO2 GO3,32,30,78
Ace Bragg,MC,IE1 IE2 IE3,78,79,71
Ace Breaker,DF,IE1 IE2 IE3,58,66,75
Ace Fettick,PR,IE1 IE2 IE3,28,27,79
Ace Irvin,MC,GO2 IE1 IE2 IE3,64,73,56
Ace Server,PR,GO2 GO3 IE1 IE2 IE3,39,35,82
Ace Slider,PR,IE2 IE3,41,37,80
Achilles Chinner,PR,IE2 IE3,37,38,78
Acme Rapture,MC,GO1 GO2 GO3,69,81,60
Ada Vyper,DL,GO1 GO2 GO3,77,70,37
Adam Hesive,DF,IE1 IE2 IE3,54,67,68
Adam Icklock,PR,IE1 IE2 IE3,29,26,71
Adam Marunga,MC,IE3,81,88,65
Adam Montayne,DL,IE3,76,82,28
Adam Nesiac,DF,IE1 IE2 IE3,62,64,77
Adam Orable,MC,GO1 GO3,77,81,68
Adam Ropes,PR,IE2 IE3,37,36,78
Adam Senseiju,PR,GO3,26,28,77
Adam Venturus,DL,IE3,68,61,41
Adamant Walhalla,DF,GO1 GO2 GO3,53,56,74
Adarn Shame,PR,GO1 GO2 GO3,27,28,77
Ade Posting,DL,IE1 IE2 IE3,62,61,48
Adel Siddique,DL,IE3,72,75,48
Adel Tactor,DF,IE2 IE3,60,56,70
Adelpha Lovelace,DF,GO2 GO3 IE2 IE3,53,59,74
"Adi ""Gecko"" Sivfeet",MC,GO2 GO3,70,78,54
Adi Sivfeet,MC,GO1,76,83,60
Adora Shivers,MC,GO2 GO3 IE3,70,73,51
Adrastus Argos,DF,GO3,55,61,75
Adrian Heartly,DF,IE2 IE3,65,66,70
Adrian Speed,DL,GO2 GO3 IE1 IE2 IE3,77,73,36
Adé Kébé,MC,GO1 GO2 GO3,71,77,59
Aegir Sefaid,DF,GO3,58,63,76
Aessop Fabel,DF,IE1 IE2 IE3,60,59,64
Agnethe Presari,DF,GO2 GO3,56,64,86
Ai Machina,PR,GO3,30,34,81
Aidan Model,DL,IE1 IE2 IE3,73,60,36
Aidull Wanabi,DL,IE3,75,68,44
