juego,nombre,posicion,elemento,ATT,CTL,DEF
IE1,Mark Evans,PR,tierra,44,45,83
IE1,Nathan Swift,DF,aire,64,69,66
IE1,Jack Wallside,DF,tierra,62,66,72
IE1,Jim Wraith,DF,bosque,61,63,70
IE1,Tod Ironside,DF,fuego,56,60,66
IE1,Steve Grim,MC,aire,78,82,71
IE1,Tim Saunders,MC,bosque,77,82,65
IE1,Sam Kincaid,MC,fuego,81,72,62
IE1,Maxwell Carson,DL,aire,77,75,50
IE1,Axel Blaze,DL,fuego,85,82,51
IE1,Kevin Dragonfly,DL,bosque,80,73,48
IE1,William Glass,DL,bosque,74,69,45
IE1,Pip Daltry,DF,bosque,46,51,62
IE1,Seymour Hillman,PR,tierra,43,43,80
IE1,Charles Island,DF,bosque,68,75,75
IE1,Garret Hairtown,DF,aire,67,71,71
IE1,Arthur Sweet,DF,tierra,69,74,73
IE1,Peter Mildred,MC,bosque,83,85,75
IE1,Josh Nathaniel,MC,bosque,80,86,79
IE1,Edward Gladstone,MC,fuego,81,82,67
IE1,Tyler Thomas,MC,tierra,85,87,80
IE1,Joseph Yosemite,DL,aire,78,83,58
IE1,Ian Suffolk,MC,fuego,83,84,75
IE1,Constant Builder,DL,fuego,80,79,49
IE1,Ted Poe,DL,bosque,79,83,55
IE1,Marshall Heart,DL,aire,76,78,50
IE1,Dom Foreman,MC,tierra,85,83,71
IE1,Slot MacHines,DF,fuego,67,75,78
IE1,Bill Steakspear,DF,tierra,64,75,76
IE1,Jimmy Mach,DL,aire,71,78,47
IE1,Tony Hacker,MC,bosque,72,80,75
IE1,Dan Rhino,MC,tierra,82,77,61
IE1,Vin Fleetwood,DL,aire,80,77,54
IE1,George Winters,DL,bosque,68,86,54
IE1,Den Hidden,PR,tierra,44,35,83
IE1,Shaun Imago,DF,aire,40,45,64
IE1,Joe Straiter,PR,fuego,36,33,80
IE1,Rupert Spiers,MC,aire,74,82,75
IE1,Mark Sudor,PR,tierra,39,35,77
IE1,Ringo Stagg,DF,aire,60,65,73
IE1,Jody MacGough,DF,tierra,45,62,65
IE1,Jeeves Dropper,MC,aire,64,78,60
IE1,Dan Dandy,DF,aire,58,54,70
IE1,Rory Boomer,MC,tierra,81,76,64
IE1,Tim Toppel,PR,bosque,42,41,76
IE1,Ames Shivers,PR,bosque,38,35,74
IE1,Chris Glover,MC,bosque,80,72,79
IE1,Thor Toise,MC,tierra,68,68,46
IE1,Colin Salts,DL,bosque,75,57,29
IE1,Christian Dear,DF,bosque,62,66,72
IE1,Iggy Loyaller,DL,bosque,75,66,48
IE1,Conan Fox,PR,tierra,30,36,73
IE1,Spike Coiffs,DF,aire,49,66,61
IE1,Roger Rocket,DF,aire,40,47,67
IE1,Bill Teller,DF,bosque,53,68,72
IE1,Billy Nomates,PR,bosque,45,36,83
IE1,Harry Caine,PR,aire,43,42,77
IE1,Martin Sheller,DL,fuego,79,65,53
IE1,Alfie Fine,PR,bosque,40,32,80
IE1,Cameron Mann,MC,tierra,75,73,66
IE1,Don Keys,DL,fuego,63,55,39
IE1,Sonny East,PR,bosque,37,34,69
IE1,Dan Carpenter,PR,tierra,29,34,70
IE1,Doug Walker,PR,tierra,33,36,70
IE1,Joseph King,PR,fuego,44,44,81
IE1,Frank Drake,DF,aire,58,64,68
IE1,Chris Massey,DF,bosque,63,61,65
IE1,Carl Sacks,DL,tierra,75,72,46
IE1,Biff Beeston,PR,bosque,35,36,76
IE1,Lou Beigh,PR,bosque,30,37,73
IE1,Marv Errick,PR,fuego,44,40,83
IE1,Bob Whittle,DL,aire,77,81,51
IE1,Bert Neptune,MC,bosque,78,81,70
IE1,Sol Crater,DL,fuego,70,65,43
IE1,Percy Coldstair,DF,bosque,46,64,65
IE1,Dusky Sunfield,MC,aire,76,72,60
IE1,Rocky Shears,PR,tierra,37,37,84
IE1,Percy Stent,PR,fuego,45,40,77
IE1,Art Pendragon,PR,aire,37,38,77
IE1,Dom Ittory,PR,tierra,34,35,70
IE1,Chaz Biggins,DL,tierra,73,65,47
IE1,Peter Drent,DF,tierra,68,59,72
IE1,Sly O'Hands,PR,aire,38,43,84
IE1,Sean Lavender,DL,bosque,78,68,46
IE1,Ace Server,PR,aire,45,39,84
IE1,Horace Nelson,PR,fuego,39,34,75
IE1,Rex George,PR,aire,41,41,76
IE1,Philip Prince,PR,bosque,29,35,76
IE1,Heath Rower,MC,aire,73,72,62
IE1,Kim Arite,PR,tierra,35,40,84
IE1,Jay Archer,DL,fuego,70,73,50
IE1,Bo Ling,DF,bosque,54,65,65
IE1,Chuck Hardy,DL,aire,70,72,37
IE1,Ben Evolent,DL,aire,79,67,47
IE1,Will Noble,PR,bosque,33,31,69
IE1,Jack Frosty,DF,aire,64,71,72
IE1,Larry Helps,DL,bosque,67,69,45
IE1,Monty Patten,DF,bosque,62,63,70
IE1,Ben Simmons,DF,bosque,67,70,71
IE1,Chunk Gorman,DL,tierra,68,71,46
IE1,Balt Decker,DF,aire,56,58,68
IE1,Drew Crenshaw,DF,tierra,53,66,62
IE1,Stan Trum,DL,fuego,68,72,44
IE1,Sham Spike,MC,tierra,75,72,62
IE1,Rainier Welkin,PR,fuego,34,38,83
IE1,Evan Yielding,DL,bosque,70,67,46
IE1,Phil Anthropic,DL,tierra,85,86,58
IE1,Fane Club,PR,aire,29,29,80
IE1,Slim Lanky,PR,aire,27,26,75
IE1,Doug Lee,DF,fuego,42,47,65
IE1,Edward Albion,PR,tierra,39,41,74
IE1,Stu Dent,PR,fuego,40,28,69
IE1,Barry Straw,DL,aire,62,79,28
IE1,Bobby Peel,MC,tierra,75,76,62
IE1,Dan Castella,PR,tierra,38,37,73
IE1,Alan Master,MC,aire,79,81,74
IE1,Bill Moony,DL,tierra,83,69,47
IE1,Buddy Goodman,DF,bosque,49,65,60
IE1,Dex Territy,PR,tierra,38,34,73
IE1,Vinny O'Gaines,MC,bosque,67,76,59
IE1,Ray Deo,PR,aire,37,32,74
IE1,Archie Meades,PR,bosque,35,30,80
IE1,Dave Chaucer,MC,bosque,81,74,62
IE1,Billy Blanc,DL,aire,74,66,33
IE1,Creed Craving,PR,fuego,39,37,76
IE1,Phil Rosey,DL,fuego,71,73,52
